species,individual,PARi,Photo,Cond,Ci,Trmmol
den_den,1,25,0.381301545,0.023437731,367.2134295,0.197336899
den_den,1,50,1.023971886,0.022963107,321.3145595,0.193096315
den_den,1,100,1.625270949,0.022411618,276.0205366,0.190501821
den_den,1,200,1.981876451,0.022368057,249.7234791,0.195169933
den_den,1,250,2.23340295,0.022524626,232.7742553,0.201050541
den_den,1,300,2.205261213,0.022142109,231.9264432,0.202850886
den_den,1,350,2.211895447,0.022460169,233.5274676,0.214915265
den_den,1,400,2.151439869,0.022356551,237.1322388,0.222021878
den_den,1,500,2.280010983,0.02313987,233.4397189,0.237358788
den_den,1,600,1.96995463,0.023247932,255.534323,0.243754574
den_den,1,700,2.315875024,0.025703958,247.0920028,0.272183145
den_den,2,0,-0.506294179,0.032841059,418.4973212,0.296278017
den_den,2,5,-0.222201471,0.032783884,404.4347975,0.293405197
den_den,2,10,0.087749009,0.032287261,388.6593549,0.290550029
den_den,2,15,0.393056391,0.031414219,372.6773313,0.283568409
den_den,2,25,0.66768848,0.030981825,357.7161695,0.283231786
den_den,2,50,1.260368401,0.030580472,325.5202527,0.280520262
den_den,2,100,2.174249071,0.031655106,280.4418022,0.293108127
den_den,2,200,3.057201541,0.030879169,230.7893371,0.288464009
den_den,2,250,2.785569393,0.030994882,245.4011541,0.289919909
den_den,2,300,3.052336066,0.030286621,228.0042092,0.280463338
den_den,2,350,3.223030296,0.029702825,215.5371575,0.273698964
den_den,2,400,3.203335183,0.029759407,216.7945322,0.272779527
den_den,2,500,3.370640729,0.029515706,206.2885241,0.271337732
den_den,2,600,3.950269837,0.029085852,170.9433242,0.267234771
den_den,2,700,3.460396808,0.02822428,192.7203362,0.259989239
den_den,3,0,-0.25024337,0.017855204,415.5443262,0.188756274
den_den,3,5,0.003571267,0.018039733,391.7124447,0.190414189
den_den,3,10,0.337250049,0.017619224,361.3948817,0.184674219
den_den,3,15,0.412940375,0.017980224,355.1351958,0.187414021
den_den,3,25,0.664449888,0.016942845,329.2005185,0.174046473
den_den,3,50,1.185365176,0.017704381,284.4625015,0.181379548
den_den,3,100,1.563703121,0.017329805,246.9533494,0.180032504
den_den,3,200,1.683283325,0.017679182,238.8668718,0.18557436
den_den,3,250,1.823311173,0.017377688,223.3072702,0.181763665
den_den,3,300,1.809556237,0.016566658,216.5644541,0.172436931
den_den,3,350,1.98191135,0.017179605,206.6599145,0.179044903
den_den,3,400,1.863787347,0.017104702,216.8644954,0.17914456
den_den,3,500,2.035153203,0.016444372,193.2981615,0.175222554
den_den,3,600,2.065721949,0.016084021,185.6867399,0.173508488
den_den,3,700,1.940804723,0.014467238,176.8563695,0.158026318
den_den,4,0,-0.738103832,0.023813483,442.2052022,0.30582455
den_den,4,5,-0.434678445,0.023140421,422.5713347,0.293347556
den_den,4,10,-0.330904709,0.023248635,415.1745522,0.292365208
den_den,4,15,0.110056159,0.022472919,384.4875337,0.28219509
den_den,4,25,0.559375008,0.022184713,351.7897105,0.279027356
den_den,4,50,1.123302123,0.02209627,310.1896703,0.278337605
den_den,4,100,1.572967927,0.021923285,274.7397389,0.276324803
den_den,4,200,2.043463099,0.022042264,240.8627533,0.279723601
den_den,4,250,2.13970009,0.022172796,234.7502562,0.283071587
den_den,4,300,2.033842037,0.022057346,241.5503604,0.282362502
den_den,4,350,2.23057977,0.021999442,226.8787241,0.282456352
